date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:38	15191/15191	---M--	200	added ('OK')	text/html	etag:%225cbec641-3b57%22	http://ninja.allexample.com/ResponseStreams-1.html	D:/webdownload/ninja/ninja.allexample.com/ResponseStreams-1.html	(from http://ninja.allexample.com/ResponseStreams.html)
23:17:38	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec656-cb3%22	http://ninja.allexample.com/index.html-ninja-utils-ResponseStreams.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-utils-ResponseStreams.html	(from http://ninja.allexample.com/ResponseStreams.html)
23:17:40	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-Result.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-Result.html	(from http://ninja.allexample.com/Result.html)
23:17:42	8722/8722	---M--	200	added ('OK')	text/html	etag:%225cbec641-2212%22	http://ninja.allexample.com/ResultHandler-1.html	D:/webdownload/ninja/ninja.allexample.com/ResultHandler-1.html	(from http://ninja.allexample.com/ResultHandler.html)
23:17:42	206866/206866	---M--	200	added ('OK')	text/html	etag:%225cbec641-32812%22	http://ninja.allexample.com/Result-1.html	D:/webdownload/ninja/ninja.allexample.com/Result-1.html	(from http://ninja.allexample.com/Result.html)
23:17:42	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec656-cb3%22	http://ninja.allexample.com/index.html-ninja-utils-ResultHandler.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-utils-ResultHandler.html	(from http://ninja.allexample.com/ResultHandler.html)
23:17:42	6296/6296	---M--	200	added ('OK')	text/html	etag:%225cbec640-1898%22	http://ninja.allexample.com/Results-1.html	D:/webdownload/ninja/ninja.allexample.com/Results-1.html	(from http://ninja.allexample.com/Results.html)
23:17:42	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-Results.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-Results.html	(from http://ninja.allexample.com/Results.html)
23:17:43	6410/6410	---M--	200	added ('OK')	text/html	etag:%225cbec640-190a%22	http://ninja.allexample.com/ReverseRouter-1.html	D:/webdownload/ninja/ninja.allexample.com/ReverseRouter-1.html	(from http://ninja.allexample.com/ReverseRouter.html)
23:17:43	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-ReverseRouter.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-ReverseRouter.html	(from http://ninja.allexample.com/ReverseRouter.html)
23:17:44	21810/21810	---M--	200	added ('OK')	text/html	etag:%225cbec640-5532%22	http://ninja.allexample.com/ReverseRouter.Builder-1.html	D:/webdownload/ninja/ninja.allexample.com/ReverseRouter.Builder-1.html	(from http://ninja.allexample.com/ReverseRouter.Builder.html)
23:17:44	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-ReverseRouter.Builder.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-ReverseRouter.Builder.html	(from http://ninja.allexample.com/ReverseRouter.Builder.html)
23:17:44	31056/31056	---M--	200	added ('OK')	text/html	etag:%225cbec640-7950%22	http://ninja.allexample.com/Route-1.html	D:/webdownload/ninja/ninja.allexample.com/Route-1.html	(from http://ninja.allexample.com/Route.html)
23:17:45	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-Route.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-Route.html	(from http://ninja.allexample.com/Route.html)
